Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1 Time taken: 81.60183882713318 seconds
2023-09-27_05:40:55,27.8,29.8,70.0,39.0,70.0,40.0,39.0,37.0,37.0,32.9,32.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,26.7,0.0,100.0,62.5,0.0,0.0,0.0,39.5,37.6,1.2
2023-09-27_05:40:57,27.8,29.8,71.0,37.0,71.0,35.0,38.0,35.0,34.0,32.9,32.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,21.6,2.9,100.0,9.6,8.4,7.1,2.9,37.4,35.1,1.2
2023-09-27_05:40:59,27.8,29.8,73.0,54.0,73.0,52.0,58.0,51.0,51.0,32.9,32.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,25.2,10.9,100.0,10.8,9.5,10.0,10.0,42.3,40.1,1.3
2023-09-27_05:41:01,27.8,29.8,75.0,57.0,75.0,42.0,43.0,38.0,38.0,32.9,32.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,28.4,16.6,100.0,10.0,11.8,15.0,17.2,46.2,43.9,1.4
2023-09-27_05:41:03,27.8,29.8,78.0,60.0,78.0,56.0,61.0,66.0,52.0,32.9,32.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,51.0,35.5,100.0,37.4,46.3,38.3,46.7,70.2,67.9,1.8
2023-09-27_05:41:05,27.8,29.8,72.0,38.0,72.0,35.0,37.0,35.0,34.0,32.9,32.9,48.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,28.0,12.2,100.0,16.9,15.8,11.3,12.0,46.0,43.8,1.4
2023-09-27_05:41:07,27.8,29.8,73.0,39.0,73.0,37.0,39.0,37.0,36.0,32.9,32.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,23.7,9.5,100.0,7.0,6.5,10.3,8.9,41.3,39.1,1.3
2023-09-27_05:41:09,27.8,29.8,73.0,38.0,73.0,35.0,42.0,38.0,35.0,32.9,32.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,26.5,13.4,100.0,15.0,9.6,11.0,9.0,44.9,42.6,1.4
2023-09-27_05:41:11,27.8,29.8,76.0,43.0,76.0,38.0,42.0,38.0,39.0,32.9,32.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.8,8.3,100.0,7.4,6.9,6.5,7.8,39.2,37.0,1.3
