Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1
2023-09-14_21:17:50,27.8,29.8,70.0,70.0,37.0,41.0,37.0,36.0,37.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,26.3,100.0,0.0,62.5,0.0,0.0,0.0,38.4,35.6,1.3
2023-09-14_21:17:52,27.8,29.8,60.0,60.0,37.0,37.0,35.0,36.0,35.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.9,99.5,2.0,1.0,2.0,1.5,6.9,29.9,27.5,1.7
2023-09-14_21:17:54,27.8,29.8,64.0,64.0,38.0,38.0,35.0,35.0,35.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.4,100.0,0.5,2.5,1.5,2.0,4.0,29.2,26.8,1.7
2023-09-14_21:17:56,27.8,29.8,66.0,66.0,38.0,37.0,36.0,36.0,35.0,35.9,35.9,49.9,4.4,4.8,4.8,4.8,4.8,3.7,3.7,18.5,100.0,2.4,1.5,1.0,5.0,1.0,31.1,28.7,2.3
2023-09-14_21:17:58,27.8,29.8,58.0,58.0,37.0,37.0,35.0,36.0,35.0,35.9,35.9,47.9,4.4,4.8,4.8,4.8,4.8,3.7,3.7,17.4,100.0,0.0,2.0,0.5,2.0,1.0,28.3,25.9,2.4
2023-09-14_21:18:00,27.8,29.8,62.0,62.0,38.0,36.0,36.0,36.0,35.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,17.7,100.0,1.0,0.5,1.5,1.0,1.5,27.8,25.4,2.4
2023-09-14_21:18:02,27.8,29.8,56.0,56.0,38.0,36.0,35.0,35.0,35.0,35.9,35.9,47.9,4.4,4.8,4.8,4.8,3.7,3.7,4.8,17.5,100.0,1.5,0.5,0.5,1.0,1.0,26.5,24.1,2.6
2023-09-14_21:18:04,27.8,29.8,56.0,56.0,38.0,36.0,35.0,35.0,35.0,35.9,35.9,49.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,17.2,100.0,1.0,0.5,0.5,0.5,0.5,26.2,23.8,2.6
2023-09-14_21:18:06,27.8,29.8,55.0,55.0,38.0,36.0,36.0,36.0,35.0,35.9,35.9,48.9,4.4,4.8,4.8,4.8,4.8,3.7,3.7,17.3,100.0,1.0,1.0,1.0,1.5,1.0,26.3,23.9,2.6
2023-09-14_21:18:08,27.8,29.8,57.0,57.0,38.0,36.0,35.0,36.0,35.0,35.9,35.9,47.9,4.4,4.8,4.8,4.8,4.8,3.7,3.7,17.7,100.0,2.0,1.0,0.5,0.5,2.0,26.9,24.5,2.6
2023-09-14_21:18:10,27.8,29.8,64.0,64.0,39.0,37.0,36.0,36.0,36.0,35.9,35.9,47.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,17.7,100.0,2.0,1.5,1.0,0.5,0.5,29.2,26.4,2.6
2023-09-14_21:18:12,27.8,29.8,54.0,54.0,38.0,37.0,36.0,37.0,35.0,35.9,35.9,47.9,4.4,4.8,4.8,4.8,4.8,3.7,3.7,17.5,100.0,1.0,1.0,0.5,1.0,1.0,30.9,27.1,2.9
2023-09-14_21:18:14,27.8,29.8,54.0,54.0,38.0,37.0,35.0,36.0,36.0,35.9,35.9,50.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,17.9,100.0,1.5,1.5,2.4,1.5,2.0,31.1,24.8,3.4
2023-09-14_21:18:17,27.8,29.8,55.0,55.0,38.0,36.0,36.0,35.0,35.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.1,100.0,2.0,1.5,1.5,1.0,1.0,31.2,24.8,3.4
2023-09-14_21:18:19,27.8,29.8,54.0,54.0,39.0,39.0,37.0,37.0,38.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.1,100.0,2.0,1.5,2.5,1.0,2.0,31.3,24.9,3.3
2023-09-14_21:18:21,27.8,29.8,55.0,55.0,38.0,37.0,36.0,36.0,35.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,100.0,3.0,3.4,1.0,0.5,1.0,31.7,25.3,3.4
2023-09-14_21:18:23,27.8,29.8,56.0,56.0,38.0,37.0,36.0,36.0,35.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,17.9,100.0,2.5,1.0,1.9,0.5,1.0,31.7,25.3,3.4
2023-09-14_21:18:25,27.8,29.8,64.0,64.0,39.0,38.0,37.0,36.0,36.0,35.9,35.9,51.9,4.4,4.8,4.8,4.8,3.7,3.7,4.8,18.6,100.0,2.5,2.9,2.9,1.9,1.5,33.5,27.1,3.3
2023-09-14_21:18:27,27.8,29.8,65.0,65.0,38.0,38.0,36.0,36.0,35.0,35.9,35.9,49.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,18.7,100.0,2.0,4.4,2.0,2.0,1.5,34.5,28.0,2.6
2023-09-14_21:18:29,27.8,29.8,60.0,60.0,38.0,37.0,36.0,36.0,35.0,35.9,35.9,48.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,17.7,100.0,2.5,1.0,1.0,1.0,1.5,34.3,28.1,2.4
2023-09-14_21:18:31,27.8,29.8,59.0,59.0,38.0,37.0,35.0,36.0,35.0,35.9,35.9,49.9,4.4,4.8,4.8,4.8,3.7,3.7,4.8,18.1,100.0,2.0,1.5,2.5,1.0,1.5,32.5,26.3,2.5
2023-09-14_21:18:33,27.8,29.8,57.0,57.0,38.0,37.0,36.0,35.0,35.0,35.9,35.9,49.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,18.0,100.0,2.0,1.5,2.0,1.0,1.5,31.9,25.7,2.4
2023-09-14_21:18:35,27.8,29.8,56.0,56.0,38.0,37.0,35.0,36.0,35.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,100.0,1.5,1.0,1.5,2.0,3.0,31.0,24.8,2.6
2023-09-14_21:18:37,27.8,29.8,55.0,55.0,38.0,38.0,35.0,36.0,35.0,35.9,35.9,49.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,17.9,100.0,2.0,2.0,1.5,1.0,0.5,30.6,24.3,2.7
2023-09-14_21:18:39,27.8,29.8,56.0,56.0,37.0,37.0,35.0,36.0,35.0,35.9,35.9,49.9,4.2,4.8,4.8,4.8,3.7,3.7,3.7,17.7,100.0,0.0,2.0,1.0,2.0,0.5,30.8,24.6,2.7
2023-09-14_21:18:41,27.8,29.8,60.0,60.0,37.0,37.0,35.0,36.0,36.0,35.9,35.9,49.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,17.7,100.0,1.0,0.5,1.5,2.5,1.0,31.7,25.4,2.7
2023-09-14_21:18:43,27.8,29.8,66.0,66.0,39.0,38.0,37.0,36.0,36.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,100.0,0.5,3.9,1.0,1.5,1.5,34.9,28.7,2.5
2023-09-14_21:18:45,27.8,29.8,57.0,57.0,39.0,37.0,37.0,36.0,36.0,35.9,35.9,49.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,18.9,100.0,5.9,3.9,1.5,1.0,1.0,34.6,28.2,3.2
