Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1
2023-09-15_02:13:23,27.8,29.8,63.0,38.0,63.0,37.0,39.0,35.0,37.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,38.6,37.5,100.0,0.0,50.0,12.5,25.0,60.7,58.4,1.7
2023-09-15_02:13:25,27.8,29.8,57.0,37.0,57.0,35.0,35.0,35.0,35.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,23.3,4.5,100.0,8.2,4.0,3.5,18.4,34.8,32.4,1.8
2023-09-15_02:13:27,27.8,29.8,71.0,70.0,62.0,37.0,38.0,35.0,36.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,24.6,16.7,99.0,7.4,4.4,4.5,16.2,35.7,33.3,1.9
2023-09-15_02:13:29,27.8,29.8,57.0,57.0,54.0,37.0,38.0,36.0,37.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.6,96.5,96.0,5.9,4.0,4.4,15.1,47.7,45.1,3.1
2023-09-15_02:13:31,27.8,29.8,54.0,54.0,53.0,36.0,37.0,36.0,36.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.9,96.0,94.4,3.0,3.0,3.5,5.5,40.3,37.6,3.5
2023-09-15_02:13:33,27.8,29.8,56.0,56.0,53.0,37.0,38.0,37.0,37.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.6,95.5,96.5,1.5,3.0,2.0,4.5,39.4,36.7,3.5
2023-09-15_02:13:35,27.8,29.8,57.0,57.0,55.0,37.0,38.0,38.0,36.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.2,96.0,96.4,2.0,2.5,2.0,2.0,39.8,37.1,3.5
2023-09-15_02:13:37,27.8,29.8,54.0,54.0,51.0,37.0,40.0,36.0,37.0,33.9,33.9,45.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,31.2,91.2,92.9,2.5,2.0,1.5,0.5,43.1,40.5,3.5
2023-09-15_02:13:39,27.8,29.8,51.0,51.0,50.0,37.0,38.0,35.0,38.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,31.8,92.4,91.4,2.5,3.0,2.0,3.4,38.1,35.3,4.3
2023-09-15_02:13:41,27.8,29.8,54.0,54.0,51.0,41.0,42.0,37.0,37.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,32.5,95.5,93.9,1.0,3.0,2.0,1.5,38.5,35.6,4.3
2023-09-15_02:13:43,27.8,29.8,55.0,54.0,52.0,37.0,39.0,36.0,37.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.4,96.5,96.0,2.0,2.5,1.5,2.5,39.3,36.4,4.3
2023-09-15_02:13:45,27.8,29.8,63.0,63.0,44.0,38.0,39.0,35.0,37.0,33.9,33.9,46.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,32.5,91.2,95.5,3.0,3.0,1.5,4.4,42.6,38.4,4.2
2023-09-15_02:13:47,27.8,29.8,70.0,65.0,70.0,37.0,40.0,35.0,37.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.6,45.5,80.9,3.0,3.5,2.0,2.0,38.5,32.9,2.8
2023-09-15_02:13:49,27.8,29.8,57.0,57.0,53.0,38.0,38.0,37.0,36.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.6,97.0,94.4,3.4,4.5,2.5,3.4,48.4,42.0,3.3
2023-09-15_02:13:51,27.8,29.8,56.0,56.0,53.0,37.0,38.0,36.0,36.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.9,95.6,96.5,3.9,2.5,2.5,2.5,43.9,37.3,3.6
2023-09-15_02:13:53,27.8,29.8,54.0,49.0,54.0,37.0,38.0,35.0,36.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.5,97.0,97.0,1.5,2.9,3.9,6.9,44.1,37.6,3.6
2023-09-15_02:13:55,27.8,29.8,62.0,62.0,61.0,37.0,39.0,36.0,36.0,33.9,33.9,45.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,33.6,93.0,95.5,3.5,3.9,3.4,4.9,45.7,39.1,3.5
2023-09-15_02:13:57,27.8,29.8,57.0,57.0,55.0,37.0,38.0,36.0,38.0,33.9,33.9,45.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,31.5,89.2,86.2,3.0,4.4,4.4,5.4,48.5,41.9,3.6
2023-09-15_02:13:59,27.8,29.8,57.0,57.0,52.0,38.0,39.0,36.0,37.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,32.8,94.0,92.8,2.5,2.5,4.5,2.5,44.9,38.3,4.2
2023-09-15_02:14:01,27.8,29.8,56.0,56.0,52.0,37.0,39.0,36.0,36.0,33.9,33.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.0,94.5,93.9,2.0,1.0,5.5,3.4,44.3,37.6,4.2
2023-09-15_02:14:03,27.8,29.8,57.0,57.0,54.0,37.0,39.0,36.0,36.0,33.9,33.9,46.9,4.4,4.8,4.8,4.8,4.8,3.7,3.7,33.4,94.6,94.5,3.0,1.5,5.5,2.0,44.8,38.1,4.3
2023-09-15_02:14:05,27.8,29.8,64.0,38.0,64.0,37.0,37.0,35.0,36.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,30.9,83.1,91.3,5.4,2.0,4.4,3.5,46.0,39.4,3.8
2023-09-15_02:14:07,27.8,29.8,35.0,33.0,31.0,34.0,31.0,33.0,31.0,33.9,33.9,46.9,4.4,3.7,4.8,4.8,3.7,4.8,4.8,9.5,5.8,25.0,15.8,3.4,1.5,4.9,23.0,16.9,1.4
run2
2023-09-15_02:16:09,27.8,29.8,64.0,64.0,37.0,37.0,35.0,36.0,37.0,34.9,34.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,31.2,100.0,50.0,0.0,0.0,0.0,37.5,49.0,46.5,1.4
2023-09-15_02:16:11,27.8,29.8,55.0,36.0,55.0,34.0,34.0,33.0,35.0,34.9,34.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,4.9,96.7,2.4,1.4,1.4,2.4,27.4,25.0,1.7
2023-09-15_02:16:13,27.8,29.8,68.0,68.0,61.0,37.0,37.0,35.0,37.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.6,16.9,98.0,1.0,1.5,1.0,0.5,29.4,27.0,1.8
2023-09-15_02:16:15,27.8,29.8,57.0,57.0,55.0,37.0,38.0,36.0,36.0,34.9,34.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,32.2,96.5,95.1,0.5,0.5,1.0,1.0,44.1,41.5,3.1
2023-09-15_02:16:17,27.8,29.8,56.0,56.0,54.0,37.0,37.0,36.0,36.0,34.9,34.9,47.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,32.9,97.5,96.1,0.5,1.9,0.5,1.0,39.1,36.4,3.6
2023-09-15_02:16:19,27.8,29.8,56.0,56.0,54.0,37.0,38.0,36.0,36.0,34.9,34.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,32.9,97.0,97.5,1.0,1.5,1.0,1.5,38.8,36.1,3.6
2023-09-15_02:16:21,27.8,29.8,60.0,60.0,47.0,37.0,38.0,35.0,37.0,34.9,34.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,32.3,95.5,95.6,1.0,1.5,1.0,1.0,39.7,37.0,3.5
2023-09-15_02:16:23,27.8,29.8,53.0,53.0,51.0,38.0,38.0,36.0,37.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,31.4,91.4,93.0,0.5,1.5,3.4,1.0,42.2,39.5,3.7
2023-09-15_02:16:25,27.8,29.8,54.0,54.0,52.0,37.0,38.0,36.0,37.0,34.9,34.9,49.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,32.1,95.0,93.6,0.5,1.0,2.4,2.0,38.1,35.2,4.3
