Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1
2023-09-15_03:25:54,27.8,29.8,68.0,68.0,36.0,37.0,34.0,36.0,36.0,31.9,31.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,42.9,100.0,33.3,28.6,42.9,50.0,0.0,78.9,79.2,1.4
2023-09-15_03:25:56,27.8,29.8,57.0,57.0,34.0,34.0,32.0,33.0,33.0,31.9,31.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.1,97.6,6.9,3.9,4.4,2.0,5.4,30.3,27.9,1.7
2023-09-15_03:25:58,27.8,29.8,70.0,65.0,70.0,61.0,61.0,37.0,39.0,32.9,32.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.4,99.5,9.9,9.4,11.3,1.5,2.0,32.5,30.1,1.8
2023-09-15_03:26:01,27.8,29.8,59.0,59.0,55.0,56.0,55.0,40.0,43.0,32.9,32.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,67.4,98.0,99.0,98.0,98.0,4.9,5.6,69.9,66.9,4.4
2023-09-15_03:26:03,27.8,29.8,60.0,60.0,56.0,57.0,56.0,39.0,42.0,32.9,32.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,67.7,99.0,99.5,99.0,99.0,5.4,5.4,62.8,59.7,4.6
2023-09-15_03:26:05,27.8,29.8,58.0,58.0,54.0,56.0,54.0,40.0,43.0,32.9,32.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,66.3,98.5,98.0,98.0,98.0,3.0,4.4,68.5,65.4,4.5
2023-09-15_03:26:07,27.8,29.8,57.0,57.0,54.0,54.0,53.0,39.0,42.0,32.9,32.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,67.1,98.0,98.5,98.5,98.5,3.0,4.5,60.1,57.1,4.8
2023-09-15_03:26:09,27.8,29.8,58.0,58.0,55.0,56.0,54.0,39.0,42.0,32.9,32.9,44.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,67.0,99.5,99.5,99.5,99.0,2.5,1.5,60.2,57.2,4.8
2023-09-15_03:26:11,27.8,29.8,50.0,50.0,39.0,37.0,35.0,35.0,36.0,32.9,32.9,46.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,37.8,82.7,57.1,40.4,40.1,2.5,4.4,45.5,42.6,3.6
