Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1
2023-09-14_00:41:17,27.8,29.8,66.0,45.0,66.0,45.0,43.0,44.0,44.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,61.2,42.9,100.0,50.0,50.0,75.0,42.9,99.7,96.4,1.5
2023-09-14_00:41:19,27.8,29.8,61.0,41.0,61.0,38.0,39.0,40.0,37.0,38.9,38.9,51.9,4.2,4.8,4.8,3.7,3.7,4.8,3.7,22.6,4.5,97.1,5.8,5.9,5.4,17.1,34.9,32.4,1.8
2023-09-14_00:41:21,27.8,29.8,77.0,77.0,62.0,65.0,63.0,60.0,59.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,28.9,15.9,98.0,13.7,13.7,15.3,15.7,40.8,38.3,2.0
2023-09-14_00:41:23,27.8,29.8,62.0,62.0,55.0,61.0,59.0,57.0,58.0,38.9,38.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,93.0,95.5,95.2,91.3,91.0,92.3,92.7,84.7,81.7,4.1
2023-09-14_00:41:25,27.8,29.8,63.0,63.0,56.0,60.0,58.0,52.0,60.0,38.9,38.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,93.7,93.6,94.5,94.1,94.5,94.6,91.0,76.7,73.7,4.4
2023-09-14_00:41:27,27.8,29.8,64.0,64.0,58.0,62.0,60.0,57.0,58.0,38.9,38.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,91.0,92.0,91.6,91.5,92.5,92.0,86.5,83.9,80.9,4.4
2023-09-14_00:41:29,27.8,29.8,63.0,63.0,58.0,62.0,58.0,57.0,57.0,38.9,38.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,93.6,91.0,94.0,92.9,95.0,94.1,94.1,77.4,74.3,4.8
2023-09-14_00:41:31,27.8,29.8,62.0,62.0,58.0,52.0,59.0,57.0,60.0,38.9,38.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,94.4,94.5,94.5,92.0,95.0,95.0,94.5,75.5,72.6,4.3
2023-09-14_00:41:33,27.8,29.8,67.0,58.0,54.0,60.0,67.0,54.0,53.0,38.9,38.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,38.3,27.2,27.1,79.4,42.2,25.5,28.5,46.1,43.3,3.2
2023-09-14_00:41:35,27.8,29.8,63.0,63.0,58.0,62.0,60.0,58.0,59.0,38.9,38.9,50.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,96.3,95.5,96.0,96.5,98.0,95.5,96.5,87.0,84.1,4.2
2023-09-14_00:41:37,27.8,29.8,65.0,65.0,61.0,64.0,63.0,60.0,61.0,38.9,38.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.4,98.5,98.5,98.0,98.5,98.0,98.5,81.3,77.7,4.6
2023-09-14_00:41:39,27.8,29.8,65.0,65.0,61.0,64.0,62.0,60.0,60.0,38.9,38.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,94.8,95.5,96.5,92.6,95.6,95.6,93.0,90.9,86.4,4.7
2023-09-14_00:41:41,27.8,29.8,63.0,63.0,59.0,63.0,60.0,59.0,59.0,38.9,38.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.0,98.0,97.0,98.0,98.0,98.0,98.5,84.2,77.3,4.6
2023-09-14_00:41:43,27.8,29.8,44.0,43.0,41.0,41.0,41.0,41.0,42.0,38.9,38.9,51.9,4.8,4.7,4.8,4.8,4.8,4.8,4.8,69.3,64.4,65.6,64.1,64.3,63.3,94.5,70.7,64.2,3.4
run2
2023-09-14_00:43:24,27.8,29.8,65.0,46.0,45.0,47.0,45.0,64.0,44.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,59.6,44.4,71.4,42.9,44.4,100.0,55.6,103.6,97.1,1.4
2023-09-14_00:43:26,27.8,29.8,60.0,39.0,38.0,40.0,37.0,60.0,40.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.6,5.8,6.3,3.4,3.8,97.1,6.4,31.8,29.4,1.7
2023-09-14_00:43:28,27.8,29.8,79.0,79.0,57.0,62.0,59.0,56.0,60.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,30.9,17.6,16.2,16.3,14.8,97.6,22.5,42.0,39.5,2.0
2023-09-14_00:43:30,27.8,29.8,61.0,61.0,56.0,61.0,59.0,56.0,57.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,94.9,96.1,94.7,94.6,94.6,93.6,96.1,82.5,79.5,4.2
2023-09-14_00:43:32,27.8,29.8,66.0,66.0,62.0,66.0,63.0,60.0,62.0,37.9,37.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.1,98.5,97.6,97.6,98.5,98.0,98.5,81.6,78.5,4.6
