Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-12_19:18:56,27.8,29.8,66.0,52.0,46.0,47.0,45.0,66.0,45.0,39.9,39.9,52.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,48.8,40.0,50.0,33.3,37.5,100.0,37.5,56.4,53.5,1.4
2023-09-12_19:18:58,27.8,29.8,71.0,43.0,44.0,42.0,71.0,41.0,43.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,22.4,7.2,9.0,8.2,94.7,8.3,6.3,34.7,32.4,1.4
2023-09-12_19:19:00,27.8,29.8,65.0,41.0,40.0,41.0,39.0,65.0,41.0,39.9,39.9,54.9,4.6,4.8,4.8,3.7,4.8,4.8,4.8,18.8,3.0,1.0,4.4,18.4,82.4,3.0,31.7,29.4,1.4
2023-09-12_19:19:40,27.8,29.8,65.0,43.0,41.0,43.0,42.0,45.0,65.0,39.9,39.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,28.9,0.0,0.0,0.0,0.0,50.0,100.0,42.1,39.4,1.3
2023-09-12_19:19:42,27.8,29.8,71.0,41.0,40.0,43.0,43.0,44.0,72.0,39.9,39.9,51.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,21.5,6.8,5.9,8.2,7.4,6.8,96.6,34.1,31.9,1.4
2023-09-12_19:19:44,27.8,29.8,66.0,43.0,66.0,40.0,41.0,41.0,40.0,39.9,39.9,52.9,4.4,4.8,4.8,4.8,3.7,4.8,3.7,18.5,2.0,83.7,1.5,3.9,4.5,15.8,30.8,28.5,1.4
2023-09-12_19:19:46,27.8,29.8,66.0,44.0,43.0,45.0,44.0,44.0,66.0,39.9,39.9,54.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,32.6,12.5,14.3,57.1,0.0,14.3,100.0,57.4,55.3,1.3
2023-09-12_19:19:48,27.8,29.8,72.0,43.0,43.0,43.0,73.0,41.0,43.0,39.9,39.9,54.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,20.3,3.9,3.9,5.8,97.1,7.7,3.4,33.6,31.3,1.4
2023-09-12_19:19:50,27.8,29.8,64.0,42.0,40.0,42.0,64.0,42.0,42.0,39.9,39.9,55.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.4,2.5,2.0,2.0,16.3,4.9,82.7,30.8,28.5,1.4
2023-09-12_19:20:01,27.8,29.8,70.0,43.0,41.0,44.0,45.0,72.0,43.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,36.2,14.3,14.3,0.0,62.5,100.0,14.3,68.6,65.7,1.3
2023-09-12_19:20:03,27.8,29.8,73.0,44.0,40.0,73.0,42.0,43.0,43.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.7,4.4,8.7,95.1,5.3,6.4,3.9,33.6,31.3,1.4
2023-09-12_19:20:05,27.8,29.8,67.0,43.0,67.0,39.0,42.0,40.0,40.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.5,3.0,84.7,13.4,4.4,2.5,2.5,31.1,28.8,1.4
2023-09-12_19:20:11,27.8,29.8,67.0,44.0,67.0,42.0,42.0,43.0,41.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,33.3,0.0,100.0,12.5,12.5,50.0,0.0,53.1,50.3,1.3
2023-09-12_19:20:13,27.8,29.8,73.0,43.0,73.0,40.0,41.0,41.0,40.0,39.9,39.9,53.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,20.6,3.9,97.1,6.8,4.4,4.9,6.3,33.3,31.0,1.4
2023-09-12_19:20:15,27.8,29.8,65.0,43.0,42.0,42.0,65.0,42.0,42.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.8,1.5,16.3,3.5,83.8,3.0,4.4,31.1,28.8,1.4
2023-09-12_19:20:26,27.8,29.8,69.0,42.0,41.0,42.0,45.0,42.0,73.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,34.0,12.5,12.5,14.3,50.0,22.2,100.0,65.8,62.9,1.3
2023-09-12_19:20:28,27.8,29.8,75.0,44.0,75.0,41.0,43.0,41.0,41.0,39.9,39.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.9,7.3,97.1,5.8,6.3,3.9,4.9,34.0,31.7,1.4
2023-09-12_19:20:30,27.8,29.8,66.0,42.0,40.0,42.0,43.0,43.0,66.0,39.9,39.9,53.9,4.4,4.8,4.8,4.8,3.7,3.7,4.8,18.3,1.5,15.8,4.5,0.5,1.5,84.2,30.8,28.5,1.4
2023-09-12_19:20:32,27.8,29.8,67.0,44.0,43.0,44.0,46.0,44.0,67.0,39.9,39.9,55.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,29.5,0.0,0.0,0.0,50.0,25.0,100.0,52.1,51.9,1.3
2023-09-12_19:20:34,27.8,29.8,71.0,42.0,39.0,42.0,45.0,44.0,71.0,39.9,39.9,54.9,4.6,4.8,4.8,3.7,4.8,4.8,4.8,20.4,4.9,6.9,3.9,5.4,3.9,97.1,33.5,31.2,1.4
2023-09-12_19:20:36,27.8,29.8,65.0,43.0,42.0,42.0,65.0,42.0,42.0,39.9,39.9,54.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.6,1.0,6.8,2.0,83.6,4.3,15.8,30.8,28.6,1.4
2023-09-12_19:20:39,27.8,29.8,71.0,44.0,42.0,44.0,43.0,73.0,43.0,40.9,40.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,40.8,25.0,12.5,25.0,62.5,100.0,22.2,68.8,66.7,1.3
2023-09-12_19:20:41,27.8,29.8,72.0,42.0,40.0,43.0,40.0,73.0,43.0,40.9,40.9,53.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.1,6.4,4.4,3.4,6.3,97.1,3.9,33.7,31.4,1.4
