Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
run1 Time taken: 87.30934619903564 seconds
2023-09-27_06:18:46,27.8,29.8,70.0,45.0,41.0,43.0,39.0,71.0,42.0,36.9,36.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,28.9,50.0,0.0,0.0,0.0,100.0,0.0,45.2,41.6,1.3
2023-09-27_06:18:48,27.8,29.8,70.0,40.0,38.0,40.0,36.0,70.0,40.0,36.9,36.9,49.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,19.7,3.9,4.0,1.5,2.9,100.0,5.0,38.6,34.5,1.2
2023-09-27_06:18:50,27.8,29.8,71.0,41.0,39.0,46.0,39.0,71.0,42.0,36.9,36.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.3,0.5,3.0,2.5,2.0,100.0,7.8,39.5,33.4,1.2
2023-09-27_06:18:52,27.8,29.8,71.0,40.0,38.0,42.0,40.0,71.0,41.0,36.9,36.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.0,3.5,3.0,3.5,3.5,100.0,5.9,40.1,34.0,1.2
2023-09-27_06:18:54,27.8,29.8,70.0,38.0,37.0,41.0,36.0,70.0,39.0,36.9,36.9,49.9,4.6,4.8,4.8,4.8,4.8,4.8,4.8,20.2,4.9,3.5,3.9,3.0,100.0,5.4,39.8,33.7,1.2
2023-09-27_06:18:56,27.8,29.8,72.0,40.0,38.0,41.0,38.0,72.0,41.0,36.9,36.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.5,2.5,3.0,3.0,4.4,100.0,4.5,39.6,33.6,1.2
2023-09-27_06:18:58,27.8,29.8,73.0,41.0,38.0,48.0,40.0,73.0,42.0,36.9,36.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.7,6.8,3.0,2.5,4.5,100.0,6.6,42.2,36.2,1.2
2023-09-27_06:19:00,27.8,29.8,73.0,41.0,39.0,43.0,38.0,74.0,41.0,36.9,36.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,31.1,15.3,13.7,20.1,16.1,100.0,21.7,50.4,46.7,1.4
2023-09-27_06:19:02,27.8,29.8,71.0,39.0,38.0,40.0,37.0,71.0,39.0,36.9,36.9,47.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,20.3,3.0,4.5,5.4,3.4,100.0,6.9,37.6,35.4,1.2
2023-09-27_06:19:04,27.8,29.8,71.0,38.0,37.0,41.0,37.0,71.0,41.0,36.9,36.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,21.5,5.0,5.4,4.4,6.4,100.0,6.0,37.4,35.2,1.3
2023-09-27_06:19:06,27.8,29.8,71.0,38.0,38.0,40.0,36.0,71.0,39.0,36.9,36.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.3,1.5,3.0,1.5,1.5,100.0,2.4,34.6,32.3,1.2
2023-09-27_06:19:08,27.8,29.8,71.0,39.0,38.0,40.0,36.0,71.0,40.0,36.9,36.9,47.9,4.6,4.8,4.8,4.8,3.7,4.8,4.8,17.8,1.0,0.0,1.0,2.0,100.0,3.0,34.5,32.3,1.2
2023-09-27_06:19:10,27.8,29.8,71.0,38.0,37.0,41.0,36.0,71.0,40.0,36.9,36.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.1,0.5,1.5,1.0,2.5,100.0,2.5,34.6,32.4,1.2
2023-09-27_06:19:12,27.8,29.8,71.0,38.0,38.0,41.0,36.0,71.0,40.0,36.9,36.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,17.7,1.0,0.5,0.5,1.5,100.0,2.0,34.3,32.1,1.2
2023-09-27_06:19:14,27.8,29.8,71.0,38.0,38.0,40.0,36.0,71.0,40.0,36.9,36.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,17.9,2.0,1.0,1.5,2.0,100.0,1.0,34.2,32.0,1.2
run2 Time taken: 90.64201521873474 seconds
2023-09-27_06:22:07,27.8,29.8,75.0,49.0,75.0,57.0,45.0,41.0,43.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,51.3,42.9,100.0,100.0,0.0,14.3,28.6,67.3,60.4,2.9
2023-09-27_06:22:09,27.8,29.8,75.0,41.0,75.0,38.0,40.0,39.0,40.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,23.3,4.6,100.0,9.0,6.1,6.9,11.1,45.7,39.6,1.3
2023-09-27_06:22:11,27.8,29.8,73.0,41.0,73.0,38.0,39.0,38.0,38.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.9,3.0,100.0,4.0,2.5,3.9,11.5,40.4,34.4,1.2
2023-09-27_06:22:13,27.8,29.8,73.0,40.0,73.0,38.0,40.0,38.0,37.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.7,3.0,100.0,2.5,3.9,4.4,10.1,40.1,34.1,1.2
2023-09-27_06:22:15,27.8,29.8,73.0,41.0,72.0,37.0,39.0,38.0,37.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.5,2.5,100.0,4.4,3.0,2.0,5.5,39.4,33.3,1.2
2023-09-27_06:22:17,27.8,29.8,73.0,41.0,73.0,38.0,40.0,38.0,37.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.7,3.5,100.0,4.0,1.5,3.9,5.5,39.6,33.6,1.2
