Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
run1 Time taken: 130.64445781707764 seconds
2023-11-14_20:43:08,48.0,67.0,67.0,43.0,43.0,42.0,26.0,34.5,3286.9,3757.3,3496.2,3546.4,3541.1,2800.0,2800.0,2800.0,3554.2,16.3,100.0,17.2,0.0,3.5,0.0,1.7,3.4,1.8,2700,0
2023-11-14_20:43:10,70.0,70.0,69.0,43.0,44.0,42.0,26.0,34.5,3263.9,3775.2,3436.0,3513.7,3431.2,2800.0,2800.0,2800.0,3555.3,12.9,25.0,1.8,0.0,0.0,75.2,0.4,0.4,0.4,2800,0
2023-11-14_20:43:12,63.0,68.0,44.0,42.0,67.0,42.0,26.0,34.5,3449.9,3505.9,3452.1,3724.1,3563.1,3483.5,2800.0,3659.5,3411.1,16.4,50.2,3.7,53.3,5.1,6.1,2.8,3.8,5.1,3000,0
2023-11-14_20:43:14,62.0,57.0,49.0,48.0,57.0,46.0,26.0,34.5,3409.0,3416.4,3401.2,3422.5,3401.8,3404.4,3400.0,3403.5,3422.3,16.1,5.4,3.0,96.5,5.0,0.5,4.4,5.0,7.9,3200,0
2023-11-14_20:43:16,55.0,59.0,42.0,45.0,43.0,57.0,26.0,34.5,3369.8,3500.2,3554.7,3492.8,3743.0,2800.0,3543.7,3523.7,2800.0,20.3,9.3,13.0,6.8,75.4,8.7,10.2,8.3,31.2,3300,0
2023-11-14_20:43:18,55.0,70.0,70.0,59.0,66.0,58.0,26.0,34.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,47.5,44.7,42.2,33.7,100.0,45.6,32.0,49.8,31.7,3200,0
2023-11-14_20:43:20,59.0,58.0,44.0,47.0,44.0,57.0,26.0,34.5,3423.9,3536.1,3502.1,3417.9,3573.6,3522.5,3537.2,3501.9,2800.0,14.5,1.5,2.9,2.0,100.0,3.9,2.9,2.0,1.0,3300,0
2023-11-14_20:43:22,58.0,57.0,44.0,46.0,44.0,56.0,26.0,34.5,3512.5,3485.9,3525.5,3400.4,3554.5,3473.8,3509.9,3542.5,3463.6,14.2,1.9,0.9,2.8,100.0,1.9,1.9,0.5,2.8,3400,0
2023-11-14_20:43:24,58.0,61.0,45.0,47.0,45.0,60.0,26.0,34.5,3257.5,3474.5,3400.7,3421.0,3627.2,2800.0,3510.1,3540.3,3645.2,15.0,5.4,3.9,2.9,20.6,2.9,2.9,1.5,79.8,3400,0
